City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Mustafakemalpasa,TR,77.05,broken clouds,40.0353,28.4117,Erkek Öğrenci Yurdu
9,Hami,CN,83.16,overcast clouds,42.8,93.45,Laoyutang Resort
10,Sojat,IN,80.17,overcast clouds,25.9167,73.6667,Mahendi Nagari Sojat City
12,Labuhan,ID,87.35,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
20,Kavaratti,IN,81.95,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
23,Atuona,PF,77.88,few clouds,-9.8,-139.0333,Villa Enata
25,Chaohu,CN,89.71,overcast clouds,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
26,Lovington,US,82.02,clear sky,32.944,-103.3485,Buena vida rv parks
27,San Patricio,US,85.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
29,Xinpu,CN,84.65,overcast clouds,34.5997,119.1594,Pattaya Leisure Hotel
32,Samarai,PG,78.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
33,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
35,Kumluca,TR,81.25,clear sky,36.3703,30.2869,TurkuazKöy
40,Hilo,US,75.79,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
47,Georgetown,MY,87.73,haze,5.4112,100.3354,Cititel Penang
50,Santa Teresa,VE,77.92,broken clouds,10.2341,-66.6631,Funeraria Lira
53,Davila,PH,84.18,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
58,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
62,Ugoofaaru,MV,82.87,overcast clouds,5.6667,73.0,Ungoofaaru Inn
64,Dingle,PH,87.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
67,Yumen,CN,76.39,overcast clouds,40.2833,97.2,
79,Narasannapeta,IN,86.61,overcast clouds,18.4167,84.05,G.lingaraju home
81,Port Blair,IN,83.61,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
82,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
84,Kalmunai,LK,82.8,overcast clouds,7.4167,81.8167,VS Villa
90,Baghdad,IQ,89.51,clear sky,33.3406,44.4009,Baghdad Hotel
91,Cockburn Town,TC,82.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
92,Kavieng,PG,84.63,light rain,-2.5744,150.7967,Nusa Island Retreat
93,Abu Samrah,SY,77.65,clear sky,35.3029,37.1841,
94,Portland,US,79.21,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
97,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
100,Ahuimanu,US,89.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
101,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
103,Todos Santos,MX,85.1,broken clouds,23.45,-110.2167,Hotel California Todos Santos
106,Humberto De Campos,BR,75.56,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
108,Itarema,BR,79.92,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
110,Lorengau,PG,81.39,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
111,Bantigue,PH,86.25,overcast clouds,10.9899,124.6225,GV Hotel Ormoc
112,Nishihara,JP,85.66,overcast clouds,26.1842,127.7558,Minshuku Agaihama
126,Saint-Louis,SN,82.13,overcast clouds,16.3333,-15.0,
129,Areia Branca,BR,76.37,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
130,Marawi,PH,84.9,overcast clouds,7.9986,124.2928,Derogongan Residence
132,Kibala,TD,75.15,clear sky,9.1104,18.3463,hotel safari
133,La Palma,US,85.96,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
135,Kogon,UZ,80.64,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
136,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Hotel Central
140,Umm Kaddadah,SD,76.05,overcast clouds,13.6017,26.6876,
145,Shingu,JP,88.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
146,Makakilo City,US,88.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
153,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
155,Sinnamary,GF,76.46,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
156,Hobyo,SO,75.49,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
159,Trat,TH,86.2,overcast clouds,12.5,102.5,สวนหนิง-อัศ
165,Cabo San Lucas,MX,85.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
166,Namatanai,PG,81.57,light rain,-3.6667,152.4333,Seagulls Inn Namatani
171,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
172,Gilbues,BR,75.18,clear sky,-9.8317,-45.3439,Hotel Camapuã
