City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poronaysk,RU,2021-08-07 02:48:22,49.2167,143.1167,59.0,88,100,8.5,overcast clouds
1,Kyren,RU,2021-08-07 02:44:04,51.6828,102.1408,63.03,75,100,1.45,overcast clouds
2,Rikitea,PF,2021-08-07 02:48:22,-23.1203,-134.9692,74.77,76,9,10.54,clear sky
3,Ushuaia,AR,2021-08-07 02:48:23,-54.8,-68.3,33.46,80,75,21.85,light snow
4,Mount Gambier,AU,2021-08-07 02:44:05,-37.8333,140.7667,51.71,87,75,17.27,broken clouds
5,New Norfolk,AU,2021-08-07 02:44:05,-42.7826,147.0587,51.66,66,80,5.01,broken clouds
6,Castro,BR,2021-08-07 02:44:05,-24.7911,-50.0119,53.44,98,99,5.12,overcast clouds
7,Poum,NC,2021-08-07 02:44:06,-20.2333,164.0167,68.97,64,100,6.42,overcast clouds
8,Mustafakemalpasa,TR,2021-08-07 02:48:23,40.0353,28.4117,77.05,83,66,2.51,broken clouds
9,Hami,CN,2021-08-07 02:44:07,42.8,93.45,83.16,16,100,5.12,overcast clouds
10,Sojat,IN,2021-08-07 02:44:07,25.9167,73.6667,80.17,76,100,6.24,overcast clouds
11,Koygorodok,RU,2021-08-07 02:48:24,60.445,50.9968,53.89,73,10,2.98,clear sky
12,Labuhan,ID,2021-08-07 02:44:07,-6.8844,112.2051,87.35,61,24,13.98,few clouds
13,Mar Del Plata,AR,2021-08-07 02:48:24,-38.0023,-57.5575,53.62,94,0,6.91,clear sky
14,Albany,US,2021-08-07 02:43:29,42.6001,-73.9662,71.73,83,39,2.46,scattered clouds
15,Palana,RU,2021-08-07 02:48:25,59.1167,159.9667,52.56,70,23,10.65,few clouds
16,Cape Town,ZA,2021-08-07 02:44:12,-33.9258,18.4232,51.12,100,90,2.3,fog
17,Punta Arenas,CL,2021-08-07 02:44:07,-53.15,-70.9167,33.91,93,75,13.8,broken clouds
18,Port Lincoln,AU,2021-08-07 02:48:25,-34.7333,135.8667,58.37,55,100,1.32,overcast clouds
19,Chokurdakh,RU,2021-08-07 02:44:08,70.6333,147.9167,60.39,57,83,8.72,broken clouds
20,Kavaratti,IN,2021-08-07 02:43:57,10.5669,72.642,81.95,79,96,22.68,heavy intensity rain
21,Amapa,BR,2021-08-07 02:48:26,1.0,-52.0,74.48,86,100,1.9,overcast clouds
22,Bluff,NZ,2021-08-07 02:48:26,-46.6,168.3333,42.8,67,100,21.97,light rain
23,Atuona,PF,2021-08-07 02:44:09,-9.8,-139.0333,77.88,79,13,18.07,few clouds
24,Torbay,CA,2021-08-07 02:48:27,47.6666,-52.7314,70.68,93,75,20.71,broken clouds
25,Chaohu,CN,2021-08-07 02:48:27,31.6,117.8667,89.71,70,100,9.6,overcast clouds
26,Lovington,US,2021-08-07 02:48:27,32.944,-103.3485,82.02,36,1,17.16,clear sky
27,San Patricio,US,2021-08-07 02:44:10,28.017,-97.5169,85.86,74,8,11.63,clear sky
28,Cherskiy,RU,2021-08-07 02:44:10,68.75,161.3,62.56,59,38,3.13,scattered clouds
29,Xinpu,CN,2021-08-07 02:48:28,34.5997,119.1594,84.65,71,96,3.94,overcast clouds
30,Forio,IT,2021-08-07 02:48:28,40.7342,13.8646,74.44,87,26,1.01,scattered clouds
31,Ulaanbaatar,MN,2021-08-07 02:48:11,47.9077,106.8832,68.13,49,0,6.71,clear sky
32,Samarai,PG,2021-08-07 02:44:11,-10.6167,150.6667,78.44,79,97,13.49,overcast clouds
33,Touros,BR,2021-08-07 02:42:23,-5.1989,-35.4608,76.1,80,18,16.98,few clouds
34,Liuzhou,CN,2021-08-07 02:48:29,24.3126,109.3892,91.04,66,91,2.62,overcast clouds
35,Kumluca,TR,2021-08-07 02:48:30,36.3703,30.2869,81.25,63,0,2.66,clear sky
36,Sardulgarh,IN,2021-08-07 02:48:30,29.7,75.25,90.12,57,70,4.54,broken clouds
37,Laguna,US,2021-08-07 02:44:12,38.421,-121.4238,90.1,39,90,3.0,haze
38,Taltal,CL,2021-08-07 02:44:12,-25.4,-70.4833,55.15,83,10,1.36,clear sky
39,Jamestown,US,2021-08-07 02:43:31,42.097,-79.2353,68.72,87,1,1.01,clear sky
40,Hilo,US,2021-08-07 02:43:58,19.7297,-155.09,75.79,92,96,1.01,moderate rain
41,Kodiak,US,2021-08-07 02:44:13,57.79,-152.4072,58.51,82,90,3.44,overcast clouds
42,Peleduy,RU,2021-08-07 02:48:31,59.6289,112.7406,61.68,81,100,2.15,light rain
43,Ostersund,SE,2021-08-07 02:44:19,63.1792,14.6357,50.45,93,86,5.75,overcast clouds
44,Haines Junction,CA,2021-08-07 02:48:31,60.7522,-137.5108,55.35,94,100,2.3,moderate rain
45,Bathsheba,BB,2021-08-07 02:44:13,13.2167,-59.5167,81.21,78,40,12.66,scattered clouds
46,Provideniya,RU,2021-08-07 02:48:32,64.3833,-173.3,47.32,80,100,6.17,light rain
47,Georgetown,MY,2021-08-07 02:41:40,5.4112,100.3354,87.73,78,20,1.01,haze
48,Yar-Sale,RU,2021-08-07 02:44:14,66.8333,70.8333,70.79,55,20,5.44,few clouds
49,Sitka,US,2021-08-07 02:44:15,57.0531,-135.33,60.69,82,75,0.0,light rain
50,Santa Teresa,VE,2021-08-07 02:48:33,10.2341,-66.6631,77.92,98,57,1.01,broken clouds
51,Yellowknife,CA,2021-08-07 02:43:33,62.456,-114.3525,68.52,60,75,4.61,broken clouds
52,Hofn,IS,2021-08-07 02:44:15,64.2539,-15.2082,52.93,82,100,3.98,overcast clouds
53,Davila,PH,2021-08-07 02:48:33,18.4726,120.5763,84.18,87,95,30.38,moderate rain
54,Lebu,CL,2021-08-07 02:44:15,-37.6167,-73.65,50.32,88,100,4.5,moderate rain
55,Thompson,CA,2021-08-07 02:44:16,55.7435,-97.8558,68.16,56,75,2.3,smoke
56,Longyearbyen,SJ,2021-08-07 02:48:34,78.2186,15.6401,46.24,71,75,12.66,broken clouds
57,Kulunda,RU,2021-08-07 02:48:34,52.566,78.9385,72.9,45,19,3.22,few clouds
58,Carnarvon,AU,2021-08-07 02:44:16,-24.8667,113.6333,78.87,64,75,24.16,broken clouds
59,Taywarah,AF,2021-08-07 02:48:34,33.35,64.4167,60.51,27,0,6.31,clear sky
60,Malumfashi,NG,2021-08-07 02:48:35,11.7853,7.6218,69.66,92,77,8.46,light rain
61,Ilulissat,GL,2021-08-07 02:44:17,69.2167,-51.1,46.42,66,100,8.05,overcast clouds
62,Ugoofaaru,MV,2021-08-07 02:48:35,5.6667,73.0,82.87,77,100,18.37,overcast clouds
63,Arraial Do Cabo,BR,2021-08-07 02:44:46,-22.9661,-42.0278,67.82,68,89,15.43,overcast clouds
64,Dingle,PH,2021-08-07 02:44:18,10.9995,122.6711,87.94,62,100,12.1,overcast clouds
65,Gibsons,CA,2021-08-07 02:48:36,49.3997,-123.5027,70.0,86,100,3.18,overcast clouds
66,Ankang,CN,2021-08-07 02:48:36,32.68,109.0172,73.65,75,100,1.36,overcast clouds
67,Yumen,CN,2021-08-07 02:48:36,40.2833,97.2,76.39,16,100,5.91,overcast clouds
68,Kasongo,CD,2021-08-07 02:48:37,-4.45,26.6667,72.81,57,34,1.97,scattered clouds
69,Barrow,US,2021-08-07 02:48:37,71.2906,-156.7887,39.22,87,90,12.66,overcast clouds
70,Qaanaaq,GL,2021-08-07 02:43:59,77.484,-69.3632,39.47,70,5,6.31,clear sky
71,Mataura,NZ,2021-08-07 02:44:15,-46.1927,168.8643,42.48,92,100,9.71,overcast clouds
72,Busselton,AU,2021-08-07 02:48:38,-33.65,115.3333,67.05,72,9,20.56,clear sky
73,Port Alfred,ZA,2021-08-07 02:44:12,-33.5906,26.891,55.29,83,0,2.89,clear sky
74,Arkhangelskoye,RU,2021-08-07 02:48:38,55.8549,35.3287,60.69,98,100,9.24,overcast clouds
75,Hermanus,ZA,2021-08-07 02:43:57,-34.4187,19.2345,50.9,81,0,4.18,clear sky
76,Sangar,RU,2021-08-07 02:48:39,63.9242,127.4739,73.63,35,99,19.8,overcast clouds
77,Clyde River,CA,2021-08-07 02:44:04,70.4692,-68.5914,35.83,93,90,6.91,mist
78,Puerto Ayora,EC,2021-08-07 02:48:39,-0.7393,-90.3518,70.56,88,80,8.01,broken clouds
79,Narasannapeta,IN,2021-08-07 02:48:39,18.4167,84.05,86.61,60,100,4.61,overcast clouds
80,Pevek,RU,2021-08-07 02:43:56,69.7008,170.3133,45.37,64,11,8.21,few clouds
81,Port Blair,IN,2021-08-07 02:48:40,11.6667,92.75,83.61,79,100,18.88,overcast clouds
82,Avarua,CK,2021-08-07 02:44:10,-21.2078,-159.775,78.85,73,63,12.66,light rain
83,Kruisfontein,ZA,2021-08-07 02:44:20,-34.0033,24.7314,45.88,92,0,3.8,clear sky
84,Kalmunai,LK,2021-08-07 02:48:41,7.4167,81.8167,82.8,72,100,4.05,overcast clouds
85,Tiksi,RU,2021-08-07 02:44:52,71.6872,128.8694,48.02,76,20,2.86,few clouds
86,Burnie,AU,2021-08-07 02:44:21,-41.0667,145.9167,53.92,71,56,11.54,broken clouds
87,Bredasdorp,ZA,2021-08-07 02:44:21,-34.5322,20.0403,51.12,93,0,4.61,clear sky
88,Hobart,AU,2021-08-07 02:48:41,-42.8794,147.3294,51.03,78,75,1.01,broken clouds
89,Okhotsk,RU,2021-08-07 02:44:22,59.3833,143.3,64.53,48,3,3.22,clear sky
90,Baghdad,IQ,2021-08-07 02:48:13,33.3406,44.4009,89.51,22,0,4.61,clear sky
91,Cockburn Town,TC,2021-08-07 02:44:22,21.4612,-71.1419,82.18,77,2,16.31,clear sky
