City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavaratti,IN,2021-08-03 02:52:13,10.5669,72.642,81.84,74,76,14.76
1,Filiatra,GR,2021-08-03 02:52:36,37.15,21.5833,87.69,54,0,8.97
2,Saint George,US,2021-08-03 02:51:02,37.1041,-113.5841,100.99,18,1,4.0
3,Vestmannaeyjar,IS,2021-08-03 02:51:27,63.4427,-20.2734,52.54,83,100,5.77
4,Georgiyevka,KZ,2021-08-03 02:52:37,43.0369,74.7114,71.64,49,75,4.47
5,Rikitea,PF,2021-08-03 02:52:37,-23.1203,-134.9692,69.53,57,55,21.3
6,Port Elizabeth,ZA,2021-08-03 02:51:45,-33.918,25.5701,52.09,93,40,9.22
7,Hobart,AU,2021-08-03 02:51:34,-42.8794,147.3294,56.12,67,40,1.01
8,San Patricio,US,2021-08-03 02:51:40,28.017,-97.5169,85.89,72,93,5.14
9,Airai,TL,2021-08-03 02:51:35,-8.9266,125.4092,76.75,31,30,5.84
10,Kampong Thum,KH,2021-08-03 02:52:38,12.7111,104.8887,87.17,59,100,9.26
11,Viseu,PT,2021-08-03 02:52:39,40.661,-7.9097,54.88,82,100,1.54
12,Ushuaia,AR,2021-08-03 02:52:39,-54.8,-68.3,37.06,87,40,17.27
13,Hindang,PH,2021-08-03 02:52:39,10.4342,124.7292,87.69,66,84,12.33
14,Cape Town,ZA,2021-08-03 02:47:38,-33.9258,18.4232,56.12,100,0,2.3
15,Quatre Cocos,MU,2021-08-03 02:51:52,-20.2078,57.7625,59.11,70,0,5.57
16,Busselton,AU,2021-08-03 02:51:23,-33.65,115.3333,56.05,77,100,5.77
17,Abu Samrah,SY,2021-08-03 02:52:28,35.3029,37.1841,77.54,47,0,7.31
18,Melo,UY,2021-08-03 02:52:40,-32.3667,-54.1833,46.9,88,0,1.54
19,Chuy,UY,2021-08-03 02:51:09,-33.6971,-53.4616,47.75,95,0,4.43
20,Charters Towers,AU,2021-08-03 02:52:41,-20.1,146.2667,80.6,31,1,6.24
21,Corrales,US,2021-08-03 02:52:41,35.2378,-106.6067,81.72,45,75,1.01
22,Agadez,NE,2021-08-03 02:52:41,19.75,10.25,85.78,24,1,11.32
23,Nikolskoye,RU,2021-08-03 02:51:17,59.7035,30.7861,60.03,94,100,10.94
24,Houma,US,2021-08-03 02:48:48,29.5958,-90.7195,82.4,91,1,0.0
25,Necochea,AR,2021-08-03 02:49:54,-38.5473,-58.7368,49.03,72,9,11.83
26,Atbasar,KZ,2021-08-03 02:52:42,51.8,68.3333,73.09,47,79,6.64
27,Los Llanos De Aridane,ES,2021-08-03 02:52:42,28.6585,-17.9182,69.55,91,75,10.36
28,Ponta Do Sol,PT,2021-08-03 02:52:01,32.6667,-17.1,73.0,73,24,6.64
29,Talnakh,RU,2021-08-03 02:52:43,69.4865,88.3972,78.4,40,98,6.08
30,Kapaa,US,2021-08-03 02:51:31,22.0752,-159.319,80.92,71,40,4.0
31,Ulladulla,AU,2021-08-03 02:52:43,-35.35,150.4667,61.88,50,7,14.65
32,Poum,NC,2021-08-03 02:52:43,-20.2333,164.0167,69.93,65,0,8.21
33,Mitsamiouli,KM,2021-08-03 02:52:44,-11.3847,43.2844,75.42,69,0,4.21
34,Cayenne,GF,2021-08-03 02:52:44,4.9333,-52.3333,78.1,87,73,0.0
35,Georgetown,MY,2021-08-03 02:49:32,5.4112,100.3354,87.73,74,20,1.01
36,Yellowknife,CA,2021-08-03 02:47:56,62.456,-114.3525,86.52,30,75,4.61
37,Leshukonskoye,RU,2021-08-03 02:52:45,64.8989,45.7622,59.23,89,94,5.97
38,Hami,CN,2021-08-03 02:52:45,42.8,93.45,85.19,17,5,7.58
39,Qaanaaq,GL,2021-08-03 02:52:09,77.484,-69.3632,43.38,70,85,3.78
40,Iqaluit,CA,2021-08-03 02:52:06,63.7506,-68.5145,49.73,93,75,0.0
41,Jamestown,US,2021-08-03 02:51:18,42.097,-79.2353,58.71,86,0,1.01
42,Mbanza-Ngungu,CD,2021-08-03 02:52:46,-5.25,14.8667,66.72,79,91,4.99
43,Balkanabat,TM,2021-08-03 02:52:05,39.5108,54.3671,89.29,16,94,7.07
44,Mataura,NZ,2021-08-03 02:51:36,-46.1927,168.8643,50.49,76,26,4.21
45,Kahului,US,2021-08-03 02:47:46,20.8947,-156.47,82.42,70,40,31.07
46,Tiksi,RU,2021-08-03 02:52:12,71.6872,128.8694,49.1,61,75,7.02
47,Luderitz,NA,2021-08-03 02:52:16,-26.6481,15.1594,66.07,34,0,5.48
48,Nueva Loja,EC,2021-08-03 02:52:46,0.0847,-76.8828,66.52,99,100,1.81
49,Santa Cruz,BO,2021-08-03 02:52:47,-17.8,-63.1667,65.66,42,0,9.22
50,Verkhoyansk,RU,2021-08-03 02:52:47,67.5447,133.385,75.67,26,0,5.66
51,Port Blair,IN,2021-08-03 02:52:47,11.6667,92.75,78.84,94,90,11.5
52,Katsuura,JP,2021-08-03 02:52:48,35.1333,140.3,91.51,75,55,11.03
53,Sitka,US,2021-08-03 02:51:49,57.0531,-135.33,60.69,77,75,9.22
54,Kaitangata,NZ,2021-08-03 02:51:43,-46.2817,169.8464,49.93,59,27,10.29
55,Mattru,SL,2021-08-03 02:52:48,7.6244,-11.8332,69.87,91,22,0.65
56,Tuktoyaktuk,CA,2021-08-03 02:52:02,69.4541,-133.0374,46.4,93,90,13.8
57,Hermanus,ZA,2021-08-03 02:51:53,-34.4187,19.2345,55.9,74,0,7.14
58,Port Lincoln,AU,2021-08-03 02:52:01,-34.7333,135.8667,55.17,62,69,18.41
59,Port Alfred,ZA,2021-08-03 02:51:17,-33.5906,26.891,54.48,85,0,12.06
60,Barrow,US,2021-08-03 02:51:20,71.2906,-156.7887,42.82,87,90,18.41
61,Malakal,SS,2021-08-03 02:52:49,9.5334,31.6605,70.21,93,100,3.78
62,Saint-Joseph,RE,2021-08-03 02:52:50,-21.3667,55.6167,64.78,64,0,2.53
63,Gorontalo,ID,2021-08-03 02:52:50,0.5412,123.0595,88.57,56,25,6.06
64,Bredasdorp,ZA,2021-08-03 02:52:50,-34.5322,20.0403,51.12,93,6,3.44
65,Ballina,AU,2021-08-03 02:52:51,-28.8667,153.5667,73.44,83,97,8.05
66,Victoria,HK,2021-08-03 02:48:31,22.2855,114.1577,87.85,88,98,1.99
67,Bonavista,CA,2021-08-03 02:52:51,48.6499,-53.1147,62.11,79,100,10.22
68,Terra Nova,BR,2021-08-03 02:52:51,-12.3667,-40.6667,66.78,91,67,2.53
69,Hamilton,US,2021-08-03 02:48:54,39.1834,-84.5333,68.88,77,1,0.0
70,Saint-Philippe,RE,2021-08-03 02:52:11,-21.3585,55.7679,65.79,65,0,1.83
71,Albany,US,2021-08-03 02:50:03,42.6001,-73.9662,61.38,83,0,4.72
72,Souillac,MU,2021-08-03 02:52:52,-20.5167,57.5167,59.38,88,20,5.75
73,Deputatskiy,RU,2021-08-03 02:52:52,69.3,139.9,55.65,37,58,12.71
74,Silvan,TR,2021-08-03 02:52:53,38.1419,41.0081,71.89,41,7,4.43
75,Mtwara,TZ,2021-08-03 02:52:53,-10.2667,40.1833,67.33,100,20,11.5
76,Bambous Virieux,MU,2021-08-03 02:51:37,-20.3428,57.7575,59.25,88,20,5.75
77,Nanortalik,GL,2021-08-03 02:52:23,60.1432,-45.2371,44.47,96,100,1.48
78,Gukovo,RU,2021-08-03 02:52:54,48.0531,39.9311,65.84,49,35,4.27
79,Upernavik,GL,2021-08-03 02:51:38,72.7868,-56.1549,47.37,67,95,7.81
80,Mumford,GH,2021-08-03 02:52:54,5.2618,-0.759,74.79,92,99,7.56
81,Molodizhne,UA,2021-08-03 02:52:55,48.1773,32.6601,67.75,92,53,6.26
82,Castro,BR,2021-08-03 02:51:57,-24.7911,-50.0119,47.32,86,0,2.68
83,Kodiak,US,2021-08-03 02:52:00,57.79,-152.4072,54.91,76,90,10.36
84,Valdosta,US,2021-08-03 02:52:55,30.8327,-83.2785,75.15,97,90,4.61
85,Bar Harbor,US,2021-08-03 02:51:46,44.3876,-68.2039,61.92,91,40,4.61
86,Meulaboh,ID,2021-08-03 02:52:56,4.1363,96.1285,82.65,67,48,4.9
87,Were Ilu,ET,2021-08-03 02:52:56,10.6,39.4333,52.79,83,93,0.94
88,Bo Phloi,TH,2021-08-03 02:52:56,14.3236,99.5161,83.03,65,97,11.05
89,Sao Joao Da Barra,BR,2021-08-03 02:52:57,-21.6403,-41.0511,67.78,80,2,9.37
90,Diego De Almagro,CL,2021-08-03 02:52:57,-26.3667,-70.05,57.45,46,0,0.98
91,Punta Arenas,CL,2021-08-03 02:51:21,-53.15,-70.9167,37.51,81,20,32.21
92,Carutapera,BR,2021-08-03 02:52:57,-1.195,-46.02,74.08,91,8,3.0
93,Namibe,AO,2021-08-03 02:51:28,-15.1961,12.1522,66.11,86,28,8.52
94,Aykhal,RU,2021-08-03 02:52:58,66.0,111.5,75.6,37,75,18.88
95,Mahebourg,MU,2021-08-03 02:51:54,-20.4081,57.7,59.29,88,20,5.75
96,Puquio,PE,2021-08-03 02:52:59,-14.7,-74.1333,48.22,72,9,3.87
97,Teseney,ER,2021-08-03 02:52:59,15.11,36.6575,74.01,83,100,11.36
98,Khatanga,RU,2021-08-03 02:51:57,71.9667,102.5,76.23,42,100,15.95
99,Lakshettipet,IN,2021-08-03 02:53:00,18.8667,79.2167,81.73,69,100,16.26
100,Mamonovo,RU,2021-08-03 02:53:00,54.4643,19.938,58.95,81,17,18.41
101,Inongo,CD,2021-08-03 02:53:00,-1.95,18.2667,68.7,61,97,6.22
102,Bogorodskoye,RU,2021-08-03 02:53:01,56.55,37.8833,64.78,88,56,9.19
103,Lima,PE,2021-08-03 02:47:03,-12.0432,-77.0282,61.05,82,90,10.36
104,Hilo,US,2021-08-03 02:52:18,19.7297,-155.09,80.33,80,75,9.22
105,Carnarvon,AU,2021-08-03 02:51:58,-24.8667,113.6333,62.67,32,0,13.8
106,Kati,ML,2021-08-03 02:53:01,12.7441,-8.0726,78.21,89,56,3.42
107,Yaan,NG,2021-08-03 02:53:02,7.3833,8.5667,71.19,97,100,5.23
108,Marquette,US,2021-08-03 02:53:02,46.5333,-87.6335,64.76,77,43,4.85
109,Praia Da Vitoria,PT,2021-08-03 02:49:11,38.7333,-27.0667,72.75,100,75,3.69
110,Lompoc,US,2021-08-03 02:52:03,34.6391,-120.4579,74.08,76,1,12.66
111,Olafsvik,IS,2021-08-03 02:53:03,64.8945,-23.7142,52.56,78,100,5.3
